id,kode_komponen,nama_barang,spek1,spek2,merek,satuan,kode_rekening,left_rekening,rincian_rekening
1,02.02.01.03.01.01,Container, 14 M3,,,Unit,5.2.3.03.02,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Tidak Bermotor
2,02.02.01.03.01.02,Container, 8 M3,,,Unit,5.2.3.03.02,5.2.3,Belanja Modal Pengadaan Alat Angkutan Darat Tidak Bermotor
3,02.02.01.03.01.03,Wheel Excavator, R. 140,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
4,02.02.01.03.01.04,Wheel Excavator, R. 60,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
5,02.02.01.03.01.05,Excavator Hydraulic, PC. 160,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
6,02.02.01.03.01.06,Excavator Hydraulic, PC. 200 Long Arm,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
7,02.02.01.03.01.07,Mini Excavator, R. 35,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
8,02.02.01.03.01.08,Mini Excavator, R. 60 - 9S,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
9,02.02.01.03.01.09,Mini Excavator, R. 80,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
10,02.02.01.03.01.10,Mini Excavator, R210,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
11,02.02.01.10.01,Chain Block, 5 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
12,02.02.01.10.02,Dongkrak Buaya, 3.5 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
13,02.02.01.10.03,Halligan Tool,,,,Buah,5.2.3.04.04,5.2.3,Belanja Modal Alat Bantu Kerja
14,02.02.01.10.04,Dongkrak Botol, 15 Ton,,,Unit,5.2.3.04.02,5.2.3,Belanja Modal Pengadaan Alat Bengkel Tak BerMesin
15,02.02.01.10.05,Pallet Stacker,,,,Unit,5.2.3.02.01,5.2.3,Belanja Modal Pengadaan Alat Berat Darat
